_id,date,description,status,subject
674360c45cd9f02fe185db84,9/12/2024,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id,Completada,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus
674360c45cd9f02fe185db85,9/9/2024,sed nisl nunc rhoncus dui vel sem sed sagittis nam,Completada,in felis donec semper sapien a libero nam dui proin leo odio
674360c45cd9f02fe185db86,11/19/2024,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget,Completada,non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam
674360c45cd9f02fe185db87,11/5/2024,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida,Completada,blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo
674360c45cd9f02fe185db88,11/11/2024,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh,Completada,volutpat in congue etiam justo etiam pretium iaculis justo in hac
674360c45cd9f02fe185db89,9/28/2024,aenean auctor gravida sem praesent id massa id nisl venenatis,Completada,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus
674360c45cd9f02fe185db8a,9/13/2024,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor,Completada,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel
674360c45cd9f02fe185db8b,9/13/2024,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,Completada,et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci
674360c45cd9f02fe185db8c,10/22/2024,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus,Completada,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo
674360c45cd9f02fe185db8d,10/17/2024,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id,Completada,nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas
674360c45cd9f02fe185db8e,11/7/2024,a odio in hac habitasse platea dictumst maecenas ut massa quis,Completada,sed accumsan felis ut at dolor quis odio consequat varius integer ac
674360c45cd9f02fe185db8f,10/18/2024,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien,Completada,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque
674360c45cd9f02fe185db90,11/21/2024,in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes,Completada,consequat in consequat ut nulla sed accumsan felis ut at dolor quis
674360c45cd9f02fe185db91,11/19/2024,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,Completada,sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea
674360c45cd9f02fe185db92,10/25/2024,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,Completada,turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices
674360c45cd9f02fe185db93,11/20/2024,primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse,Completada,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec
674360c45cd9f02fe185db94,9/10/2024,libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est,Completada,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio
674360c45cd9f02fe185db95,9/30/2024,quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,Completada,augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula
674360c45cd9f02fe185db96,11/19/2024,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam,Completada,id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras
674360c45cd9f02fe185db97,10/19/2024,mi sit amet lobortis sapien sapien non mi integer ac neque duis,Completada,curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est
